"CustomerId","CustomerName","Segment","RegionId","CreditLimit","OnboardedOn"
"485","Customer_0485","Enterprise","6","248805","2021-06-07"
"486","Customer_0486","Enterprise","13","127013","2023-08-29"
"487","Customer_0487","SMB","14","54216","2025-04-02"
"488","Customer_0488","Enterprise","5","12443","2025-05-31"
"489","Customer_0489","Enterprise","17","237669","2023-03-27"
"490","Customer_0490","Enterprise","4","150290","2025-07-13"
"491","Customer_0491","SMB","18","219670","2022-02-17"
"492","Customer_0492","Public Sector","8","129461","2021-12-15"
"493","Customer_0493","Mid-Market","20","18596","2023-12-11"
"494","Customer_0494","Public Sector","2","203407","2022-08-01"
"495","Customer_0495","SMB","11","186100","2021-09-27"
"496","Customer_0496","SMB","1","67894","2023-09-08"
"497","Customer_0497","Mid-Market","15","202262","2024-01-25"
"498","Customer_0498","SMB","11","238711","2021-11-16"
"499","Customer_0499","Mid-Market","16","77256","2023-09-04"
"500","Customer_0500","Public Sector","18","87316","2026-08-14"
